step,truth_x,truth_y,truth_z,est_x,est_y,est_z,truth_vx,truth_vy,truth_vz,est_vx,est_vy,est_vz
1,6.105800,8.065000,4.036800,6.944014,6.993118,4.472240,1.058000,0.650000,0.368000,0.814813,0.302902,0.112296
2,6.212396,8.130080,4.075395,6.605430,7.759780,4.054539,1.065963,0.650802,0.385948,0.642788,0.639870,0.111657
3,6.319778,8.195319,4.115769,6.404272,8.239734,4.177585,1.073814,0.652385,0.403742,0.432575,1.200956,0.221425
4,6.427926,8.260790,4.157897,6.445687,8.475755,4.073158,1.081480,0.654709,0.421284,0.422859,1.380869,0.183177
5,6.536814,8.326561,4.201746,6.541625,8.820346,3.633078,1.088889,0.657713,0.438482,0.445115,1.674109,-0.126657
6,6.646412,8.392693,4.247271,6.488947,8.895807,3.797917,1.095973,0.661319,0.455253,0.272670,1.520801,0.010017
7,6.756678,8.459236,4.294423,6.484503,9.097489,3.708757,1.102664,0.665434,0.471525,0.198150,1.597418,-0.089093
8,6.867568,8.526231,4.343147,6.385150,9.054404,3.976907,1.108902,0.669951,0.487240,0.011651,1.269988,0.199532
9,6.979031,8.593707,4.393383,6.349841,8.981321,4.510134,1.114627,0.674753,0.502353,-0.003870,0.991801,0.796035
10,7.091010,8.661678,4.445066,6.527771,8.917892,4.657656,1.119785,0.679717,0.516835,0.270946,0.750665,0.880955
11,7.203443,8.730150,4.498134,6.903113,8.986844,4.658940,1.124330,0.684713,0.530674,0.760489,0.740774,0.802598
12,7.316264,8.799111,4.552521,7.221512,8.885573,4.827210,1.128218,0.689612,0.543874,1.083716,0.514817,0.906885
13,7.429406,8.868539,4.608166,7.410891,9.017817,4.836949,1.131413,0.694287,0.556455,1.183239,0.613931,0.826632
14,7.542794,8.938401,4.665012,7.556899,9.019886,4.665184,1.133885,0.698617,0.568455,1.204949,0.533830,0.565900
15,7.656355,9.008650,4.723005,7.612430,9.031836,4.553404,1.135611,0.702490,0.579926,1.123720,0.478702,0.396855
16,7.770013,9.079231,4.782098,7.838346,8.967487,4.775059,1.136575,0.705806,0.590931,1.251679,0.365757,0.569273
17,7.883690,9.150079,4.842253,7.978973,8.951732,5.014655,1.136769,0.708478,0.601551,1.273511,0.318040,0.733779
18,7.997308,9.221122,4.903440,8.074063,8.928341,5.054174,1.136189,0.710438,0.611871,1.236568,0.258080,0.700539
19,8.110793,9.292286,4.965639,8.246098,9.093131,5.062144,1.134842,0.711635,0.621987,1.288872,0.398677,0.656424
20,8.224067,9.363490,5.028839,8.176370,9.143791,5.182035,1.132741,0.712037,0.632000,1.092728,0.403361,0.691792
21,8.337057,9.434653,5.093040,8.351181,9.074506,5.383442,1.129904,0.711635,0.642013,1.159119,0.304874,0.794723
22,8.449693,9.505697,5.158253,8.346443,9.111376,5.852502,1.126358,0.710438,0.652129,1.061499,0.327640,1.091003
23,8.561907,9.576545,5.224498,8.584773,9.248066,5.726025,1.122137,0.708478,0.662449,1.183531,0.422210,0.926286
24,8.673635,9.647125,5.291805,8.675562,9.276522,5.835674,1.117280,0.705806,0.673069,1.156764,0.408312,0.936389
25,8.784818,9.717374,5.360212,8.633963,9.443639,5.948810,1.111832,0.702490,0.684074,1.011187,0.524143,0.949397
26,8.895402,9.787236,5.429766,8.865080,9.697648,5.720405,1.105844,0.698617,0.695545,1.129310,0.705736,0.739537
27,9.005339,9.856665,5.500521,8.923898,9.790009,5.678200,1.099371,0.694287,0.707545,1.069779,0.715440,0.655057
28,9.114587,9.925626,5.572534,8.949655,9.821226,5.691708,1.092476,0.689612,0.720126,0.984194,0.667490,0.609938
29,9.223109,9.994097,5.645866,9.079952,9.998895,5.645426,1.085221,0.684713,0.733326,1.014274,0.769648,0.545928
30,9.330876,10.062069,5.720583,9.246154,10.108473,5.772528,1.077674,0.679717,0.747165,1.084968,0.810776,0.603318
31,9.437867,10.129544,5.796747,9.487978,10.234835,5.829885,1.069907,0.674753,0.761647,1.218639,0.861990,0.614475
32,9.544066,10.196539,5.874423,9.614397,10.208855,6.067161,1.061991,0.669951,0.776760,1.230121,0.766029,0.726690
33,9.649466,10.263083,5.953671,9.668516,10.324569,6.019365,1.054000,0.665434,0.792475,1.155197,0.791470,0.642072
34,9.754067,10.329215,6.034546,9.846430,10.476480,5.996713,1.046009,0.661319,0.808747,1.214015,0.859037,0.592991
35,9.857876,10.394986,6.117097,9.969414,10.659160,5.900066,1.038093,0.657713,0.825518,1.208589,0.941846,0.493816
36,9.960909,10.460457,6.201369,10.109689,10.576479,5.968620,1.030326,0.654709,0.842716,1.221469,0.770119,0.493979
37,10.063187,10.525695,6.287395,10.286745,10.692972,6.011355,1.022779,0.652385,0.860258,1.276995,0.810756,0.496726
38,10.164739,10.590775,6.375200,10.233423,10.824173,6.180064,1.015524,0.650802,0.878052,1.108502,0.862342,0.569935
39,10.265602,10.655775,6.464800,10.248629,10.925427,6.348029,1.008629,0.650000,0.896000,1.022473,0.882242,0.641391
40,10.365818,10.720775,6.556200,10.221987,10.945870,6.640124,1.002156,0.650000,0.914000,0.908846,0.828666,0.785916
